Ano Projeto,Codigo,Tipo de Ação,Titulo,Centro de Ensino,Unidade,Data Inicio,Data Fim,Situacao,Status_macro,Fonte Financiamento
2023,EV110-2023,Evento,10 anos da Licenciatura em Dança da UFPB: trajetórias em (re)existência,CCTA - Centro de Comunicação e Artes,CCTA - DEPARTAMENTO DE ARTES CÊNICAS,2023-10-02,2023-12-15,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2022,EV96-2022,Evento,"10 anos do Grupo Interdisciplinar de Pesquisa em Cultura, Sociedade e Ambiente (GIPCSA)",CCEN - Centro de Ciências Exatas,CCEN - DEPARTAMENTO DE SISTEMÁTICA E ECOLOGIA,2022-12-01,2022-12-02,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,EV99-2024,Evento,10º Colóquio de Cinema e Arte da América Latina - Cocaal,CCTA - Centro de Comunicação e Artes,CCTA - DEPARTAMENTO DE JORNALISMO,2024-10-28,2024-11-08,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2020,EV86-2020,Evento,12º Encontro Internacional de Trompetistas - Associação Brasileira de Trompetistas,CCTA - Centro de Comunicação e Artes,CCTA - DEPARTAMENTO DE MÚSICA,2020-11-03,2020-11-08,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2025,EV67-2025,Evento,14° TALENTO CIENTÍFICO JOVEMENTO CIENTÍFICO JOVEM,CCEN - Centro de Ciências Exatas,CCEN - DEPARTAMENTO DE BIOLOGIA MOLECULAR,2025-07-02,2025-12-31,PENDENTE DE RELATÓRIO,Concluído,FINANCIAMENTO INTERNO
2024,EV74-2024,Evento,"16º EADM: Planejamento de Carreira: Novas formas de trabalho, de competências e networking","CCHSA - Centro de Ciências Humanas, Sociais e Agrárias",CCHSA - DEPARTAMENTO DE CIÊNCIAS SOCIAIS APLICADAS,2024-10-09,2024-10-10,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2025,EV87-2025,Evento,17º EADM - INTELIGÊNCIA ARTIFICIAL NA GESTÃO: TRANSFORMANDO DECISÕES E OTIMIZANDO PROCESSOS,"CCHSA - Centro de Ciências Humanas, Sociais e Agrárias",CCHSA - DEPARTAMENTO DE CIÊNCIAS SOCIAIS APLICADAS,2025-09-09,2025-09-10,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2022,EV0-2022,Evento,19a Semana Nacional de Ciência e Tecnologia em João Pessoa - PB,CE - Centro de Educação,CE - DEPARTAMENTO DE METODOLOGIA DA EDUCAÇÃO,2022-11-09,2022-11-12,AGUARDANDO APROVAÇÃO DOS DEPARTAMENTOS,Em Trâmite,FINANCIAMENTO INTERNO
2024,CR142-2024,Curso,"1ª CAPACITAÇÃO TÉCNICA PRESENCIAL PARA GESTORES DE ESCOLAS EM TERRITÓRIOS DIFERENCIADOS  - ALAGOAS TEMA: O FORTALECIMENTO DO PDDE E DAS AÇÕES INTEGRADAS NAS ESCOLAS EM TERRITÓRIOS INDÍGENAS, CAMPO E QUILOMBOLAS NA REGIÃO NORDESTE ",CE - Centro de Educação,CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO,2024-07-11,2024-07-12,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,CR143-2024,Curso,"1ª CAPACITAÇÃO TÉCNICA PRESENCIAL PARA GESTORES DE ESCOLAS EM TERRITÓRIOS DIFERENCIADOS  - BACABAL - MARANHÃO Período: 13 e 14 de junho de 2024 TEMA: O FORTALECIMENTO DO PDDE E DAS AÇÕES INTEGRADAS NAS ESCOLAS EM TERRITÓRIOS INDÍGENAS, CAMPO E QUILOMBOLAS NA REGIÃO NORDESTE ",CE - Centro de Educação,CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO,2024-06-13,2024-06-14,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
